,Movie Fridays,,,,,,,,Movie Ratings (Choose 1-10) (Put X if you were not there)(FP if you passed out),,,,,,,,,,,,,,,
,Movie,Duration,Date,Picked by:,,Average,Rank,,Derek,Daniel,DP,Nick,Austin,Connor,Basil,Mike V,Gil,Will,Guest,,Standard Dev,IMDB Rating,Disparity,
,The Killing of a Chinese Bookie,135,3/19/2021,Guest,,7.0,125,,7.5,7,6,6.8,7,7,x,7,7.5,x,x,,0.468,7.4,0.4,
,Under The Shadow,84,3/20/2021,Derek,,4.5,197,,4,4,4.5,5,x,5,x,4.5,x,x,x,,0.447,6.9,2.4,
,Black Dynamite,84,3/26/2021,Guest,,7.4,84,,7,7.7,x,fp,x,7.5,x,7.5,7.3,x,x,,0.265,7.4,0.0,
,Assimilate,93,3/27/2021,Austin,,4.8,190,,4,4,7,4,5.75,3.5,6,4.5,x,x,x,,1.246,5.3,0.5,
,The Third Part of the Night,105,3/28/2021,AHS,,5.1,185,,5,5.9,x,4,x,5.5,x,x,x,x,x,,0.821,7.4,2.3,
,White Right: Meeting the Enemy,55,4/2/2021,Gil,,8.0,37,,8,8,7.5,8,8.25,8,8,8,8.5,x,fp,,0.264,,8.0,
,Midnight Express,121,4/2/2021,Austin,,7.7,59,,7.5,7.7,6.5,8,8.25,7,8,8.5,7.5,x,fp,,0.624,7.6,0.1,
,The Battle of Algiers,121,4/3/2021,Connor,,8.1,36,,x,8.6,6.5,8.2,8,8.5,x,8.5,x,x,x,,0.792,8.1,0.1,
,Birdman or (The Unexpected Virtue of Ignorance),119,4/9/2021,Nick,,8.6,15,,9.2,8.6,8,9,9,9,9,9,8.8,6.5,x,,0.814,7.7,0.9,
,Splinter,82,4/10/2021,DP,,5.6,176,,4.5,5,5,5,7,5.5,7,6,x,x,x,,0.954,6.1,0.5,
,Shin Godzilla,120,4/17/2021,Connor,,7.5,70,,7.4,7.5,7.5,6.5,7.66,8,8,x,7.5,7.5,x,,0.438,6.8,0.7,
,Bad Trip,84,4/17/2021,Derek,,7.3,85,,7.7,7.8,7.5,7.5,7.25,7.5,7.5,x,6,x,,,0.567,6.6,0.7,
,Seven Psychopaths,110,4/23/2021,Guest,,6.5,151,,6.7,6,6,6.5,6.33,4.5,x,7,7,8.5,,,1.065,7.2,0.7,
,Looper,113,4/30/2021,Will,,6.8,136,,7,7,7.5,6.5,7.66,5.5,fp,x,6.5,7,x,,0.677,7.4,0.6,
,Napoleon Dynamite,96,5/1/2021,Basil,,6.9,128,,7,7.8,5,8.3,6.25,8,8,x,8,4,x,,1.535,6.9,0.0,
,Sorcerer,121,5/7/2021,Dan,,8.1,34,,8.49,7.9,7.5,7.6,8.75,8,8.5,x,x,x,x,,0.482,7.7,0.4,
,Conspiracy,96,5/14/2021,Dan,,6.4,154,,6,7,4.5,7,7.5,6,x,x,8.5,5,x,,1.321,7.7,1.3,
,Akira,124,5/21/2021,DP,,8.3,28,,8.4,8.4,8,7.5,8.5,8.5,fp,9,8,8,x,,0.430,8,0.3,
,The Trial of the Chicago 7,129,5/28/2021,Guest,,6.8,139,,6.5,6,7,6,6.5,6.5,x,x,8.5,7,,,0.802,7.8,1.1,
,Trollhunter,103,5/29/2021,Dan,,7.0,114,,6.9,7,7,x,7.25,x,x,x,x,x,x,,0.149,7,0.0,
,Barton Fink,116,5/30/2021,Connor,,8.3,27,,7.5,8.1,8,9,x,9,x,x,8,x,x,,0.606,7.7,0.6,
,Stranger Than Paradise,89,5/2/2021,AHS,,7.0,118,,7.5,5.6,5.5,7.5,x,9,x,x,x,x,x,,1.475,7.5,0.5,
,My Name Is Khan,165,6/4/2021,Basil,,7.5,69,,7.5,7.5,8,7,7.66,6.5,8.8,8,8.75,5,8,,1.074,8,0.5,
,The Conjuring: The Devil Made Me Do It,112,6/5/2021,Derek,,4.0,208,,4.5,3.5,4,fp,x,x,x,5,x,3,fp,,0.791,5.9,1.9,
,Cobra Verde,111,6/13/2021,AHS,,4.1,203,,3,2,3.5,6.2,x,6,x,x,x,x,x,,1.870,7,2.9,
,Mad Max: Fury Road,120,6/18/2021,Derek,,7.7,55,,7.8,7.6,7.5,7.8,7.75,8,x,x,8,7,x,,0.325,8.1,0.4,
,Dead End,85,6/19/2021,DP,,5.2,184,,x,x,5.5,x,6.33,4.5,5,6,x,4,x,,0.892,6.6,1.4,
,Days of Heaven,94,6/23/2021,Connor,,7.2,102,,x,x,6,7.8,x,8.5,x,x,7,6.5,x,,1.001,7.8,0.6,
,Sin City,124,6/25/2021,Mike V,,7.2,99,,7.5,7.5,7,7,7.25,7,x,7.5,,7,,,0.248,8,0.8,
,Barry Lyndon,185,7/1/2021,Connor,,6.6,145,,,,6,,7.33,,,,,6.5,,,0.672,8.1,1.5,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,   ,,,,,,,,,,,,,,,,,,,,
